UNITID,YEAR,COHORT,gradRateT_Total,gradRateG_Men,gradRateG_Women,gradRateR_White,gradRateR_Black,gradRateR_Asian,gradRateR_Hispanic,gradRateR_AmInd,gradRateR_NatHawaii,gradRateR_NonResident,gradRateR_2orMore,gradRateR_Unknown
382771,2008,4,0.956,0.944,0.958,0.989,1,1,1,,,,,0
125532,2009,4,0.672,0.504,0.689,0.708,0.465,0.806,0.663,0.826,,,0.724,0.788
213251,2010,2,0.713,0.729,0.7,0.721,0.8,0.444,0.571,0.5,,0.667,,1
215947,2012,2,0.566,0.468,0.646,0.908,0.923,0.5,0.833,1,,1,,0
181738,2012,2,0.516,0.475,0.557,0.516,0.5,1,0.529,1,,0.5,1,0.25
144740,2010,2,0.677,0.645,0.699,0.683,0.551,0.757,0.663,0.714,,0.783,,0.671
191676,2008,2,0.716,0.693,0.726,0.706,0.5,1,0.5,0,,1,,1
213367,2012,2,0.676,0.631,0.71,0.698,0.625,0.857,0.591,1,,0.5,,0.55
179159,2008,2,0.743,0.73,0.755,0.76,0.697,0.708,0.651,0.667,,0.467,,0.66
201195,2008,2,0.731,0.679,0.768,0.747,0.714,0.625,0.556,1,,0.429,,0.588
212106,2010,2,0.749,0.706,0.782,0.754,0.657,0.7,0.765,,,1,,0.722
212106,2011,3,0.957,0.983,0.942,0.953,,1,,,,1,,1
428170,2011,4,0.807,0.829,0.801,0.791,0.853,0.75,0.836,0.667,,0,0.5,
133854,2010,4,0.712,0.515,0.731,0.618,0.681,1,0.871,,,,1,0.706
410539,2010,4,0.585,0.58,0.586,0.624,0.435,0.6,0.623,1,,,0.8,1
137546,2011,2,0.643,0.705,0.596,0.654,0.625,0.8,0.528,1,,0.667,,0.615
195164,2009,2,0.671,0.65,0.692,0.733,0.455,1,0.308,1,,0.75,,0.574
437927,2012,4,0.677,0.606,0.69,0.71,0.544,0.667,0.75,1,,,0.5,0.689
153269,2008,3,0.767,0.739,0.779,0.759,1,0.789,1,,,0,,1
240444,2008,2,0.817,0.795,0.834,0.826,0.597,0.801,0.773,0.577,,0.813,,
420495,2011,4,0.613,0.662,0.605,0.702,0.565,0.75,0.72,1,,,0.6,0.615
213987,2009,2,0.694,0.681,0.702,0.713,0.286,0.667,0.9,1,,0.542,,0.646
169080,2008,2,0.755,0.744,0.764,0.766,0.143,0.625,1,0.667,,0.786,,0.581
100937,2012,2,0.656,0.647,0.661,0.69,0.425,0.8,0.75,0.5,,1,,0.7
444389,2010,4,0.77,0.765,0.771,0.775,0.667,0.667,0.778,1,,,0.636,
216278,2010,2,0.79,0.733,0.838,0.799,0.667,0.667,0.583,,,1,,0.75
152600,2010,2,0.704,0.665,0.742,0.727,0.452,0.375,0.55,1,,1,,0.61
192323,2010,2,0.736,0.699,0.762,0.76,0.615,0.615,0.529,0.667,,0.75,,0.692
213826,2012,2,0.68,0.621,0.701,0.698,0.429,1,0.5,,,1,0.667,0.529
202480,2011,2,0.742,0.728,0.756,0.753,0.593,0.857,0.512,0.667,,0.5,,0.716
120883,2008,2,0.676,0.643,0.699,0.673,0.5,0.727,0.605,1,,0.667,,0.634
129686,2012,2,0.95,1,0.933,0.941,1,1,,1,,,,
406024,2008,4,0.957,1,0.95,0.917,1,,1,,,,,1
153834,2011,2,0.692,0.63,0.74,0.704,0.455,0.5,0.923,0.333,,0.727,0.667,0.45
166674,2011,2,0.681,0.658,0.69,0.717,0.625,0.75,0.5,1,,0,0.6,0.6
368629,2009,4,0.717,0.679,0.725,0.739,0.55,0.744,0.667,0.714,,,0.619,0.667
215105,2008,2,0.686,0.687,0.685,0.703,0.657,0.571,0.706,1,,0.5,,0.625
183345,2011,2,0.964,0.895,1,0.961,1,1,1,,,,,
206093,2011,4,0.539,0.532,0.547,0.641,0.446,1,0.573,1,,,1,0.54
448354,2010,4,0.855,0.789,0.875,0.833,0.857,1,0.882,,,,,0.727
221148,2009,4,0.64,0.642,0.542,0.641,0.549,0.625,0.724,0.625,,0.824,0.333,0.673
214157,2011,2,0.765,0.725,0.799,0.766,0.333,0.5,0.929,,,1,1,0
199722,2008,4,0.866,0.716,0.99,0.827,1,0,1,0.75,,,,0.667
151467,2009,4,0.837,0.857,0.829,0.885,0.657,1,0.75,,,,,1
444389,2011,4,0.835,0.826,0.837,0.853,0.738,1,0.836,,,,,0.889
218973,2008,2,0.828,0.787,0.859,0.831,0.842,0.667,1,,,0,,1
139959,2010,2,0.808,0.793,0.818,0.813,0.807,0.778,0.873,0.8,,0.323,,
223232,2009,2,0.703,0.651,0.733,0.724,0.584,0.697,0.645,0.632,,0.75,,0.694
217536,2009,2,0.682,0.609,0.713,0.686,0.75,0.833,0.538,0.333,,1,,0.667
233408,2008,4,0.789,0.846,0.779,0.841,0.556,1,1,1,,,,
202073,2009,2,0.87,0.929,0.829,0.957,,0.6,1,1,,0.625,,
157818,2009,2,0.751,0.776,0.733,0.741,0.875,0.8,0.8,0.5,,,,0.833
214157,2012,2,0.741,0.742,0.74,0.748,0.571,0.6,1,0,,0.667,1,0
153162,2011,2,0.696,0.696,0.696,0.729,0.611,0.667,0.636,0.5,,0.667,0.333,0.576
238078,2012,2,0.608,0.549,0.647,0.602,0.333,1,0.667,1,,0.7,,0.7
167358,2008,2,0.699,0.685,0.715,0.726,0.628,0.722,0.58,0.8,,0.581,,0.67
446093,2009,4,0.821,1,0.816,0.75,0.5,1,0.917,1,,,,
443836,2011,4,0.713,0.623,0.726,0.724,0.643,1,0.719,1,,0,,0.654
213570,2010,4,0.569,0.508,0.594,0.637,0.389,1,0.504,1,,1,,0.6
235495,2012,4,0.786,0.852,0.724,0.771,1,,1,,,,0.667,1
217882,2008,2,0.795,0.762,0.829,0.808,0.685,0.75,0.842,0,,0.571,,0.758
197151,2010,2,0.686,0.75,0.629,0.702,0.7,0.721,0.618,1,,0.793,,0.2
156295,2008,2,0.638,0.58,0.68,0.6,0.634,1,0.75,1,,0.917,,
260691,2008,4,0.773,0.507,0.851,0.8,0.667,0.857,0.592,0.955,,,,0.797
399911,2010,2,0.878,0.854,0.895,0.889,0.5,0.909,1,,,0.873,,
188429,2012,2,0.665,0.617,0.683,0.717,0.52,0.763,0.571,1,,0.744,,0.517
173300,2011,2,0.697,0.643,0.728,0.701,0.429,0.538,0.375,0.333,,0.524,1,0.828
227845,2012,2,0.693,0.715,0.678,0.695,0.636,0.533,0.702,0.75,,0.667,,0.727
179159,2009,2,0.732,0.707,0.753,0.754,0.547,0.75,0.69,0.75,,0.462,,0.65
136950,2009,2,0.659,0.631,0.678,0.671,0.833,0.684,0.618,1,,0.462,,0.558
439127,2012,4,0.687,0.596,0.71,0.737,0.657,1,0.744,,,,1,0.662
143084,2011,2,0.76,0.725,0.786,0.762,0.571,0.889,0.8,1,,0.5,,
230621,2008,2,0.996,1,0.995,1,1,0.8,1,,,,,
189705,2012,2,0.683,0.677,0.688,0.707,0.475,0.714,0.4,1,,0.769,,0.677
183239,2011,2,0.729,0.659,0.78,0.732,0.75,0.667,0.75,0,,1,,0.723
156471,2011,4,0.786,0.831,0.776,0.813,0.813,1,0.667,,,,0.429,0.675
144281,2010,3,0.673,0.621,0.75,0.677,0.4,1,1,,,0.667,,1
424424,2009,4,0.731,0.739,0.73,0.667,0.526,0.913,0.755,,,0.643,0.333,0.75
243780,2010,2,0.695,0.657,0.744,0.703,0.632,0.65,0.624,0.61,,0.706,,0.765
239716,2010,2,0.773,0.734,0.802,0.802,0.4,0.857,0.5,0.714,,1,,0.2
224679,2010,4,0.699,0.678,0.746,0.722,0.571,1,0.698,1,,,,0.667
232681,2011,2,0.708,0.659,0.733,0.727,0.684,0.696,0.25,1,,0,0.667,0.657
433013,2010,4,0.731,0.713,0.736,0.741,0.48,0.776,0.709,1,,,,0.895
366960,2008,4,0.661,0.509,0.686,0.622,0.5,0.703,0.707,1,,0.778,,0.613
243780,2009,2,0.698,0.687,0.712,0.705,0.555,0.713,0.589,0.545,,0.748,,0.826
170301,2012,2,0.774,0.723,0.809,0.773,0.8,0.857,0.828,0.5,,0.714,,
121309,2008,2,0.708,0.649,0.747,0.719,0.8,0.522,0.632,,,1,,1
215637,2010,3,0.75,0.758,0.742,0.789,1,1,1,,,,,0.737
122506,2011,2,0.756,0.75,0.762,0.706,,1,0.8,,,0.9,0.6,0.5
110714,2008,2,0.715,0.69,0.733,0.726,0.663,0.749,0.666,0.536,,0.6,,0.696
201654,2010,2,0.671,0.663,0.677,0.671,0.556,0.667,0.8,1,,0.4,,0.667
122612,2010,2,0.698,0.613,0.741,0.665,0.611,0.775,0.709,0.6,,0.707,,0.653
437927,2010,4,0.647,0.492,0.667,0.661,0.464,0.75,0.758,0.667,,,1,0.663
460181,2012,4,0.759,0.5,0.8,0.75,0.833,1,0.625,,,,0.5,1
162654,2011,2,0.699,0.648,0.728,0.701,0.818,0.4,0.769,0.667,,0,0.571,0.765
111638,2010,4,0.708,0.756,0.696,0.779,0.611,0.854,0.722,1,,,,0.639
197027,2010,2,0.783,0.766,0.897,0.777,1,0.875,0.667,,,1,,
212009,2010,2,0.825,0.788,0.854,0.818,0.758,0.938,0.889,,,0.893,,
445115,2010,4,0.63,0.594,0.688,0.603,0.59,0.909,0.6,0.8,,,0.778,0.571
169983,2012,2,0.566,0.546,0.672,0.571,0.333,0.667,0.6,0.75,,1,0.4,0.657
167057,2009,2,0.753,0.75,0.756,0.746,1,0.667,0.667,,,0.923,,0.5
145813,2012,2,0.714,0.669,0.743,0.742,0.419,0.765,0.592,0.786,,0.625,,0.707
375416,2011,4,0.514,0.429,0.538,0.663,0.48,0.6,0.571,1,,1,0.421,0.545
191959,2008,4,0.667,0.673,0.636,0.579,0.9,1,0.636,0.667,,,,1
158477,2009,2,0.619,0.56,0.664,0.626,0.522,0.667,0.6,0.5,,1,,1
202523,2008,2,0.812,0.793,0.828,0.838,0.645,0.667,0.684,0,,0.806,,0.684
193308,2012,2,0.652,0.725,0.617,0.75,0.644,1,0.567,,,0.938,,0.864
232681,2008,2,0.775,0.816,0.759,0.779,0.743,0.667,0.885,1,,0.333,,
169080,2009,2,0.746,0.709,0.776,0.745,0.4,0.767,0.545,0.5,,0.831,,0.737
178615,2009,2,0.708,0.673,0.732,0.728,0.577,0.792,0.629,0.778,,0.388,,0.75
171881,2012,2,0.561,0.727,0.5,0.467,0.5,1,1,,,1,0,1
451103,2012,4,0.988,0.988,0.989,0.8,1,1,0.99,,,,,
150455,2010,2,0.729,0.679,0.764,0.742,0.714,0.25,0.714,0.667,,0.935,,0.561
442037,2010,4,0.589,0.492,0.629,0.708,0.439,1,0.607,0.5,,1,,0.788
228042,2010,3,0.926,1,0.917,0.909,1,1,1,,,,,
215637,2012,2,0.796,0.741,0.852,0.767,0.778,1,1,,,,,0.818
206589,2008,2,0.76,0.654,0.847,0.792,0.65,0.5,0.75,,,0.714,0.4,0.684
142054,2011,4,0.691,0.605,0.71,0.735,0.75,0.75,0.5,0.333,,,1,0.677
245962,2008,4,0.703,0.75,0.697,0.716,0.63,0.875,0.64,0.74,,,,1
446835,2009,4,0.631,0.612,0.655,0.657,0.555,1,0.695,1,,,0.9,0.045
219709,2010,2,0.669,0.674,0.665,0.667,0.765,0.615,0.647,0.667,,0.714,,0.667
204635,2010,3,0.936,0.962,0.918,0.934,,1,,,,1,1,
439570,2011,4,0.741,0.695,0.746,0.782,0.874,0.692,0.783,0.683,,,0.333,0.42
368805,2010,4,0.58,0.511,0.6,0.648,0.486,0.714,0.673,0.8,,,1,0.737
163295,2009,2,0.685,0.746,0.65,0.678,0.65,0.923,0.625,0.5,,0.667,,0.625
441982,2011,2,0.96,0.978,0.931,0.88,,1,1,,,,,1
146481,2012,2,0.701,0.639,0.741,0.69,0.75,0.727,0.636,1,,0.864,,
239628,2010,2,0.708,0.739,0.684,0.733,0.667,1,0.5,0.25,,1,,0.467
117751,2011,2,0.654,0.582,0.71,0.635,1,1,0.667,1,,0.5,,
217165,2008,2,0.685,0.654,0.741,0.698,0.48,0.684,0.76,1,,0.462,,0.583
104188,2011,2,0.822,0.882,0.786,0.839,,1,0.75,1,,,,0.667
140951,2011,2,0.639,0.595,0.678,0.676,0.519,0.682,0.527,0.25,,0.548,1,0.632
132806,2008,4,0.868,0.704,0.884,0.828,0.923,,0.814,1,,,,0.722
447120,2008,4,0.627,0.469,0.65,0.597,0.51,0.846,0.62,0.889,,0.769,,0.765
118259,2010,4,0.605,0.563,0.611,0.628,0.465,0.786,0.748,0.5,,0.6,0.625,0.611
145725,2009,2,0.657,0.627,0.75,0.669,0.444,0.708,0.467,1,,0.848,,0.571
173665,2008,2,0.714,0.729,0.705,0.728,0.4,0.828,0.3,1,,0.7,,0.636
184782,2011,2,0.672,0.643,0.7,0.713,0.463,0.778,0.49,0.667,,1,0.111,0.5
146719,2009,2,0.677,0.703,0.664,0.727,0.537,0.664,0.565,1,,0.615,,0.583
221351,2011,2,0.749,0.744,0.753,0.765,0.724,0.6,0.75,0,,0.5,0.4,0.75
174066,2012,2,0.733,0.737,0.73,0.76,0.496,0.669,0.661,0.439,,0.725,,0.785
201548,2012,2,0.592,0.579,0.6,0.599,0.625,0.4,0.389,0.5,,1,1,0.45
135939,2008,2,0.587,0.484,0.8,0.579,0.583,1,0.75,1,,0.75,,0.2
228778,2008,2,0.778,0.738,0.814,0.795,0.672,0.807,0.69,0.629,,0.809,,
192323,2011,2,0.721,0.725,0.718,0.744,0.619,0.8,0.645,0.167,,1,,0.593
196097,2012,2,0.688,0.616,0.743,0.64,0.733,0.804,0.618,0.5,,0.692,,0.697
165699,2009,2,0.721,0.655,0.765,0.728,0.8,0.5,0.333,1,,0.5,,0.727
246266,2011,4,0.776,0.711,0.805,0.786,0.517,,0.781,1,,0.5,,0.852
111948,2008,2,0.672,0.647,0.69,0.687,0.556,0.729,0.609,1,,0.476,,0.659
233921,2012,3,0.774,0.75,1,0.8,,1,1,1,,,,0.4
448354,2008,4,0.849,0.8,0.857,0.857,0.85,0.667,0.844,,,,,1
213233,2012,4,0.681,0.685,0.667,0.673,0.667,1,0.6,1,,,,0.75
207254,2008,3,0.746,0.753,0.611,0.745,0.719,1,0.978,0.5,,0.667,,0
208479,2009,4,0.746,0.641,0.756,0.809,0.505,0.71,0.721,0.429,,,0.8,0.6
178615,2010,2,0.698,0.684,0.708,0.705,0.604,0.741,0.679,0.625,,0.563,,0.708
146719,2008,2,0.663,0.65,0.67,0.702,0.549,0.606,0.587,1,,0.667,,0.62
228343,2010,2,0.735,0.634,0.801,0.749,0.875,0.833,0.587,0.5,,0,,1
384193,2009,4,0.654,0.594,0.658,0.68,0.471,0.78,0.668,1,,,0.514,0.694
130624,2008,2,0.746,0.758,0.716,0.772,0.5,0.529,0.692,1,,1,,
164216,2010,2,0.707,0.639,0.751,0.71,0.882,0.714,1,,,1,,0.308
196088,2011,2,0.708,0.667,0.75,0.713,0.603,0.824,0.587,0.364,,0.809,,0.686
454616,2010,4,0.659,0.649,0.714,0.687,0,1,0.667,1,,1,,0.333
216339,2012,2,0.658,0.644,0.668,0.666,0.622,0.707,0.592,0.833,,0.657,,0.662
432524,2011,4,0.546,0.457,0.589,0.5,0.571,1,0.429,1,,1,,0.615
111009,2009,4,0.688,0.636,0.748,0.682,0.452,0.722,0.62,0.75,,0.674,,0.735
213473,2009,4,0.755,0.692,0.778,0.732,0.75,1,1,,,1,,
228787,2011,2,0.596,0.56,0.643,0.591,0.426,0.758,0.525,1,,0.607,,1
219903,2009,4,0.729,0.698,0.732,0.833,0.689,0.875,0.706,0.857,,,0.586,
222983,2008,2,0.778,0.731,0.817,0.789,0.769,0.778,0.71,0.333,,1,,
153162,2008,2,0.718,0.697,0.731,0.729,0.333,1,0.714,0,,1,,0.778
445258,2011,3,0.853,0.776,0.886,0.888,0.797,1,0.5,1,,,,
228246,2011,2,0.756,0.738,0.771,0.761,0.685,0.814,0.711,0.7,,0.763,,
144962,2011,2,0.701,0.67,0.72,0.736,0.406,0.429,0.679,,,1,0.8,0.556
130624,2010,2,0.772,0.757,0.81,0.781,0.714,0.727,0.636,0.5,,1,,
153269,2011,3,0.926,0.923,0.928,0.92,,1,1,,,1,,
219709,2008,2,0.664,0.632,0.684,0.662,0.737,0.667,1,0.75,,0.5,,0.4
186584,2010,2,0.646,0.628,0.661,0.694,0.549,0.563,0.594,1,,0.75,,0.611
163851,2009,2,0.661,0.591,0.716,0.664,0.62,0.614,0.636,1,,0.455,,0.738
188678,2011,4,0.808,0.722,0.853,0.788,0.667,1,1,,,0.857,,
232502,2012,4,0.633,0.512,0.651,0.756,0.592,1,0.8,0.6,,,0.4,0.75
438647,2011,4,0.642,0.417,0.67,0.697,0.609,0.875,0.68,0.4,,1,0,0.702
144962,2010,2,0.699,0.609,0.764,0.757,0.273,0.4,0.583,1,,1,,0.607
443438,2010,4,0.592,0.615,0.587,0.61,0.541,0.667,0.758,0.667,,,0.857,0.796
217077,2011,4,0.751,0.765,0.728,0.787,0.557,0.857,0.695,0.8,,,0.5,0.25
145813,2010,2,0.71,0.664,0.739,0.734,0.521,0.727,0.588,0.615,,0.684,,0.707
373058,2008,4,0.926,0.844,1,0.918,1,,1,,,,,1
115773,2010,3,0.76,0,1,0.75,0.714,0.75,0.714,1,,,,1
211750,2011,4,0.787,0.821,0.777,0.789,0.7,1,0.813,0,,,,1
151351,2010,2,0.713,0.695,0.728,0.73,0.519,0.78,0.594,0.583,,0.644,,0.697
450696,2011,4,0.683,0.71,0.678,0.617,0.596,0.676,0.747,0.5,,,0.75,0.725
178396,2010,2,0.694,0.67,0.715,0.705,0.582,0.748,0.667,0.621,,0.706,,0.573
240329,2010,2,0.71,0.716,0.707,0.716,0.5,0.643,0.619,0.667,,0.778,,0.625
437635,2010,4,0.907,0.817,0.936,0.939,0.907,0.4,0.94,0.5,,,,0.333
244279,2011,4,0.969,0.833,1,0.976,0.971,1,0.929,,,,,
110422,2008,2,0.694,0.658,0.737,0.707,0.625,0.719,0.601,0.6,,0.667,,0.67
447120,2012,4,0.749,0.667,0.772,0.713,0.617,0.833,0.77,,,,0.8,0.756
126775,2011,2,0.697,0.706,0.658,0.698,0.538,0.545,0.542,0.444,,1,,0.849
233374,2009,2,0.857,0.858,0.857,0.868,0.813,0.8,0.917,,,0.707,,
188465,2009,2,0.843,1,0.704,0.95,0.25,0.929,1,,,1,,
251075,2012,4,0.635,0.416,0.69,0.657,0.566,0.75,0.643,0.667,,1,,0.652
110422,2009,2,0.717,0.671,0.774,0.736,0.55,0.701,0.595,0.579,,0.615,,0.736
178183,2009,4,0.858,0.875,0.857,0.938,0.744,1,0.4,,,,,1
217819,2012,2,0.687,0.668,0.697,0.692,0.604,0.667,0.758,0.5,,0.722,,0.677
179159,2011,2,0.703,0.678,0.721,0.736,0.454,0.719,0.708,0.25,,0.727,0.556,0.417
381796,2009,4,0.796,0.8,0.796,0.938,0.625,0.9,0.747,0.4,,,,0.667
217819,2010,2,0.661,0.627,0.677,0.666,0.667,0.593,0.686,0.5,,1,,0.592
363590,2009,4,0.694,0.462,0.711,0.697,0.56,0.8,0.677,0.667,,,0.6,0.8
163851,2010,2,0.699,0.649,0.741,0.723,0.533,0.56,0.696,1,,0.4,,0.667
148584,2009,2,0.867,0.786,0.938,0.944,1,,0.8,,,1,,0.333
455983,2011,4,0.716,0.684,0.737,1,1,0.833,1,,,0.697,,
179919,2008,4,0.963,0.952,0.978,0.976,0.923,0.875,1,,,,,
445744,2012,4,0.635,0.604,0.638,0.655,0.571,1,0.643,0.6,,,0.75,0.571
440129,2011,4,0.673,0.515,0.704,0.679,0.549,0.818,0.733,0.786,,0.845,0.364,
452124,2012,4,0.589,0.623,0.581,0.644,0.508,1,0.667,0.5,,,1,0.553
203845,2012,2,0.631,0.567,0.696,0.641,0.4,0.857,0.4,0.5,,0.571,0.75,0.652
443438,2009,4,0.642,0.656,0.639,0.765,0.614,1,0.742,,,,1,0.607
156295,2009,2,0.649,0.654,0.646,0.616,0.642,0.333,0.625,0.5,,1,,1
195003,2011,2,0.651,0.604,0.766,0.669,0.467,0.839,0.54,0.857,,0.671,,0.6
136774,2010,2,0.687,0.637,0.75,0.694,0.333,0.714,0.682,0.5,,0.667,,1
168546,2008,2,0.726,0.694,0.751,0.725,0.667,0.6,0.25,0.667,,0.667,,0.917
173647,2009,2,0.852,0.836,0.867,0.862,0.9,0.846,0.429,0.5,,0.571,,
238616,2010,2,0.601,0.558,0.636,0.628,0.286,1,0.5,1,,1,,0.452
163295,2008,2,0.717,0.765,0.689,0.695,0.818,0.875,0.583,0,,0.75,,0.769
211893,2008,2,0.8,0.625,0.917,0.5,1,1,1,,,0.818,,
249247,2011,4,0.584,0.57,0.588,0.533,0.539,0.857,0.694,0.75,,0.583,0.333,0.628
122612,2009,2,0.705,0.688,0.712,0.672,0.608,0.748,0.698,0.333,,0.672,,0.822
180373,2011,4,0.585,0.52,0.647,0.586,0.333,0.75,1,0.6,,0.636,1,
197151,2011,2,0.688,0.674,0.7,0.703,0.536,0.75,0.636,0.75,,0.818,,0.4
165936,2012,2,0.736,0.698,0.756,0.738,0.833,0.5,0.727,0,,1,,0.667
207962,2010,4,0.644,0.648,0.543,0.678,0.526,0.545,0.747,0.537,,,1,0.786
209065,2008,2,0.727,0.683,0.759,0.729,0.4,0.8,0.429,0.857,,0.5,,0.769
103893,2011,3,0.682,0.628,0.69,0.695,0.464,0.667,0.715,0.63,,,0.714,0.765
121275,2010,3,0.712,0.692,0.875,0.824,0.143,1,0.636,,,1,0,0.765
167783,2009,2,0.699,,0.699,0.698,0.563,0.786,0.5,1,,1,,0.7
404514,2011,4,0.574,0.641,0.564,0.611,0.456,1,0.594,0.6,,,1,0.604
146427,2010,2,0.758,0.748,0.763,0.783,0.579,0.905,0.682,0,,0.556,,0.867
445753,2011,4,0.666,0.602,0.688,0.826,0.639,0.6,0.662,0.5,,,0.8,0.657
186399,2009,2,0.651,0.599,0.692,0.643,0.637,0.708,0.586,1,,0.5,,0.623
153834,2008,2,0.722,0.683,0.748,0.738,0.5,1,0.75,0.5,,0.524,,0.474
377342,2012,4,0.755,0.85,0.74,0.793,0.75,1,0.75,1,,,0,0
218663,2010,2,0.676,0.649,0.697,0.676,0.675,0.735,0.538,0.583,,0.727,,0.681
213996,2009,2,0.781,0.772,0.786,0.79,0.619,0.75,0.737,,,0.733,,0.667
151801,2011,3,0.629,0.571,0.661,0.629,0.632,0.333,0.579,1,,1,,0.6
104805,2009,2,0.774,0.818,0.762,0.68,0.7,1,0.9,,,,,1
105543,2009,4,0.648,0.632,0.651,0.644,0.6,0.833,0.662,0.587,,,0.727,0.649
237066,2010,2,0.793,0.744,0.831,0.813,0.727,0.65,0.7,0.625,,0,,0.75
441858,2010,4,0.925,1,0.922,0.94,0.846,1,,1,,,,
166984,2010,2,0.638,0.515,0.681,0.632,0.333,1,0.5,,,1,0.333,1
217244,2012,4,0.619,0.619,0.619,0.75,0.8,1,0.889,,,,0.8,0.536
153658,2011,2,0.71,0.7,0.718,0.718,0.566,0.584,0.596,0.462,,0.825,,0.753
124681,2010,4,0.745,0.714,0.754,0.761,0.59,0.882,0.757,0.75,,,,0.679
167996,2008,2,0.818,0.768,0.851,0.818,0.769,0.875,0.733,,,1,,
211200,2011,4,0.951,0.962,0.948,0.987,0.784,1,,,,,,1
217819,2009,2,0.64,0.592,0.665,0.646,0.56,0.652,0.484,1,,0.731,,0.661
195720,2009,2,0.743,0.703,0.777,0.754,0.688,0.778,0.474,1,,,,0.714
441982,2009,2,0.932,0.976,0.871,0.977,1,1,,,,0,,0.875
404921,2012,4,0.664,0.583,0.721,0.778,0.527,1,0.667,1,,,,0.691
231174,2009,2,0.73,0.722,0.737,0.735,0.552,0.816,0.632,0.4,,0.556,,0.75
221519,2009,2,0.819,0.861,0.787,0.819,0.833,0.875,0.636,,,1,,
213507,2010,2,0.736,0.697,0.769,0.744,0.667,0.692,0.5,1,,0,,0.824
120661,2009,4,0.817,0.75,0.827,0.865,0.727,0.852,0.874,0.667,,,0.25,
153658,2010,2,0.696,0.696,0.695,0.703,0.57,0.656,0.624,0.609,,0.733,,0.647
196088,2010,2,0.666,0.639,0.695,0.659,0.617,0.703,0.497,0.636,,0.651,,0.863
189705,2011,2,0.666,0.642,0.684,0.702,0.406,0.8,0.6,1,,0.524,,0.6
144892,2012,2,0.604,0.549,0.64,0.63,0.484,0.667,0.4,0.7,,0.4,1,0.548
208822,2012,2,0.644,0.656,0.637,0.655,0.5,0.533,0.522,0.769,,1,,0.706
215770,2009,2,0.775,0.748,0.798,0.789,0.76,0.828,0.769,0,,0.667,,0.487
114947,2008,3,0.858,0.872,0.847,0.853,0.5,0.818,1,,,,,0.872
126775,2009,2,0.672,0.655,0.738,0.691,1,0.8,0.5,0.8,,0.071,,0.692
211750,2012,4,0.803,0.8,0.804,0.795,0.75,1,1,,,,0.667,
106397,2012,2,0.603,0.567,0.64,0.609,0.49,0.603,0.57,0.453,,0.741,0.591,0.75
206622,2009,2,0.772,0.751,0.789,0.789,0.712,0.647,0.625,0,,0.529,,1
213251,2011,2,0.761,0.74,0.778,0.765,0.636,0.667,0.667,,,0.8,0.8,
110671,2010,2,0.681,0.647,0.715,0.604,0.722,0.722,0.654,0.625,,0.543,,0.699
209065,2012,2,0.671,0.608,0.72,0.688,0.5,0.538,0.632,1,,0.6,,0.654
178396,2008,2,0.69,0.645,0.731,0.7,0.558,0.774,0.662,0.48,,0.7,,0.67
192323,2012,2,0.685,0.656,0.703,0.696,0.5,0.8,0.581,0.333,,1,,0.655
147369,2009,2,0.723,0.667,0.806,0.723,0.833,0.857,0.583,0.5,,0.917,,0
262129,2012,2,0.693,0.667,0.709,0.706,0.333,1,0.667,0.5,,,1,0.333
218539,2008,2,0.73,0.679,0.787,0.72,0.692,1,1,,,,,1
216010,2011,2,0.594,0.539,0.644,0.608,0.452,0.875,0.607,0.8,,1,,0.489
151777,2011,2,0.517,0.409,0.618,0.521,0.231,0.6,0.333,1,,0.875,0.5,1
421878,2012,4,0.871,0.769,0.895,0.75,0.882,0.667,0.895,,,,,0.875
134121,2009,4,0.658,0.6,0.735,0.424,0.875,0.75,0.833,1,,,,0.727
126775,2008,2,0.683,0.664,0.746,0.69,0.571,0.75,0.581,0.5,,0.667,,0.75
152220,2012,4,0.653,0.564,0.675,0.67,0.5,1,0.789,,,,1,0.75
223232,2010,2,0.711,0.697,0.721,0.748,0.567,0.685,0.655,0.625,,0.7,,0.492
130226,2008,2,0.752,0.738,0.761,0.766,0.633,0.667,0.708,0,,0.889,,0.686
186584,2009,2,0.629,0.611,0.646,0.655,0.504,0.625,0.571,1,,0.714,,0.644
213668,2010,2,0.702,0.703,0.7,0.699,0.778,,0.6,1,,0.667,,0.75
381945,2010,4,0.93,0.933,0.929,0.931,1,1,0.875,,,,,
218663,2011,2,0.702,0.672,0.724,0.711,0.654,0.742,0.694,0.636,,0.36,,0.702
212106,2009,2,0.74,0.708,0.761,0.747,0.525,0.895,0.615,0,,0.875,,0.731
179894,2011,2,0.606,0.615,0.598,0.615,0.512,0.857,0.563,1,,0.706,,0.522
215132,2009,2,0.605,0.558,0.635,0.592,0.636,0.615,0.556,1,,0.8,,0.595
196167,2008,2,0.778,0.732,0.804,0.805,0.5,0.587,0.56,0.333,,0.778,,0.714
445337,2011,4,0.625,0.546,0.663,0.55,0.667,1,0.667,1,,0.25,,0.623
170532,2009,2,0.746,0.753,0.741,0.767,0.7,0.75,0.5,1,,0,,0.634
214175,2009,2,0.851,0.804,0.881,0.863,0.692,0.75,0.75,0,,0,,1
404505,2012,4,0.578,0.511,0.594,0.602,0.482,0.833,0.786,1,,,0.636,0.567
243780,2011,2,0.688,0.657,0.73,0.704,0.474,0.733,0.615,0.611,,0.636,,0.741
